player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
SSD Arachchige,Sri Lanka,2023,2024,5,3,3,6,0,104,22,FALSE,23.5,29,48.03735632183908,0,0,0,0,1,3.3,0,3,5.714285714285714,2/26,0,0,0,3,3,3,0,0,2
SSJ Brooks,West Indies,2019,2023,29,36,0,66,1,771,111,TRUE,21.42992424242424,212,102.8301886792453,1,4,5,15,11,0,0,0,NA,NA,0,0,0,33,33,31,2,0,5
SSM Stanislaus,MLT,2020,2024,40,35,2,40,4,657,62,FALSE,25.112903225806452,607,61.14744645799012,0,1,1,43,23,3.1,0,1,9.473684210526317,1/4,0,0,0,8,8,8,0,0,1
ST Banerjee,India,1991,1992,6,7,7,8,0,454,3,FALSE,23.81111111111111,0,45,0,0,0,0,0,0,0,8,3.830555555555556,3/47,0,0,0,3,3,3,0,0,1
ST Callaway,Australia,1892,1895,3,6,6,6,1,229,41,FALSE,20.53333333333333,0,78.5,0,0,1,0,0,0,0,6,1.8089171974522291,5/37,0,1,0,0,0,0,0,0,0
ST Clarke,West Indies,1978,1982,10,26,29,29,5,1832,35,TRUE,19.278055278055277,0,44.97481684981685,0,0,2,0,0,0,0,55,2.8197084937146943,5/126,0,1,0,6,6,6,0,0,2
ST Doheny,Ireland,2023,2024,11,3,0,14,0,19,15,FALSE,6.333333333333333,21,90.47619047619048,0,0,0,2,0,0,0,0,NA,NA,0,0,0,6,5,3,2,1,3
ST Finn,England,2010,2017,69,117,154,156,25,10668,56,TRUE,Inf,19,47.704677292359435,0,1,9,1,0,80,0,254,5.302331595101907,6/79,4,7,0,29,29,29,0,0,5
ST Gabriel,West Indies,2012,2023,25,113,131,132,34,7901,20,TRUE,22.34003353481265,0,34.9419191919192,0,0,23,0,0,7,0,202,5.782696510193591,8/62,0,6,1,18,18,18,0,0,4
ST Jayasuriya,Sri Lanka,1991,2011,141,218,164,227,17,11424,340,FALSE,30.429486928871164,487,90.34838949088768,14,35,19,76,23,61.5,0,117,4.920599733750133,5/34,0,2,0,82,82,82,0,0,4
ST Jayasuriya (Asia/SL),NA,1989,2011,445,368,368,441,0,23742,NA,FALSE,36.752321981424146,0,46.04953560371517,0,0,0,0,0,0,0,323,4.788624445340863,6/29,8,4,0,123,123,123,0,0,3
ST Kanakalil,MLT,2020,2020,3,1,2,3,1,87,13,TRUE,Inf,6,114.33333333333331,0,0,0,2,0,8,0,4,9.25,4/31,1,0,0,1,1,1,0,0,1
ST Yalimaiwai,Fiji,2024,2024,3,2,3,3,1,61,1,TRUE,8,2,32.5,0,0,1,0,0,10,1,4,6,2/11,0,0,0,0,0,0,0,0,0
ST de Silva,Sri Lanka,2017,2017,3,2,1,3,0,13,3,FALSE,Inf,7,Inf,0,0,1,0,0,1,0,0,10,NA,0,0,0,0,0,0,0,0,0
STR Binny,India,2014,2016,14,24,22,24,1,1419,78,FALSE,31.82037037037037,29,71.11877394636015,0,1,2,2,1,5,0,24,6.538503401360544,6/4,0,1,0,7,7,7,0,0,3
STRA de Silva,SEY,2022,2024,12,10,6,11,3,255,46,TRUE,63.214285714285715,173,74.35260115606935,0,0,1,9,1,10.2,0,1,10.161290322580646,1/23,0,0,0,6,6,6,0,0,2
SU Halarnkar,CRC,2024,2024,2,2,0,2,0,0,0,FALSE,0,4,0,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
SV Bahutule,India,1997,2003,8,11,10,11,1,808,21,TRUE,86.36111111111111,0,140.75,0,0,2,0,0,0,0,5,4.551689528270325,1/32,0,0,0,4,4,4,0,0,3
SV Carlisle,Zimbabwe,1995,2005,111,66,0,173,6,1615,118,FALSE,26.916666666666668,0,NA,2,8,7,0,0,0,0,0,NA,NA,0,0,0,73,73,73,0,0,6
SV Manjrekar,India,1987,1996,74,64,6,142,6,2078,218,FALSE,Inf,0,Inf,4,9,3,0,0,0,0,1,6.397058823529411,1/2,0,0,0,49,48,48,0,1,5
SV Nayak,India,1981,1982,4,7,7,7,1,473,11,FALSE,105.66666666666667,0,224.25,0,0,0,0,0,0,0,2,3.88996138996139,1/51,0,0,0,2,2,2,0,0,2
SV Samson,India,2015,2024,16,33,0,53,4,810,111,FALSE,27.93103448275862,522,155.17241379310346,3,2,6,66,46,0,0,0,NA,NA,0,0,0,39,32,11,21,7,5
SV Samuelson,South Africa,1910,1910,1,2,1,2,0,86,15,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,3.5555555555555554,NA,0,0,0,1,1,1,0,0,1
SVA Karthikeyan,ROM,2022,2022,2,0,0,2,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
SVE Bharathi,GER,2020,2023,37,6,37,37,2,679,4,TRUE,8.179347826086957,16,30.081521739130437,0,0,3,0,0,125.5,2,46,5.340397350993378,4/6,1,0,0,14,14,14,0,0,2
SW Ambris,West Indies,2017,2021,16,12,0,25,1,166,43,FALSE,15.090909090909092,0,NA,0,0,2,0,0,0,0,0,NA,NA,0,0,0,4,4,4,0,0,2
SW Billings,England,2015,2022,28,36,0,34,5,544,87,FALSE,19.535714285714285,368,129.8913043478261,0,2,1,41,16,0,0,0,NA,NA,0,0,0,28,27,15,12,1,7
SW Billings (ENG/ICC),NA,2015,2022,37,0,0,36,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,19,17,13,4,2,3
SW Currie,Scotland,2024,2024,3,3,3,3,0,172,NA,FALSE,28.666666666666668,0,40,0,0,0,0,0,0,0,3,4.3,2/16,0,0,0,0,0,0,0,0,0
SW Lubbers,NED,1996,1996,4,4,4,4,0,374,NA,FALSE,37.4,0,43.2,0,0,0,0,0,0,0,5,5.194444444444445,3/48,0,0,0,1,1,1,0,0,1
SW Masakadza,Zimbabwe,2010,2014,16,30,32,32,2,2614,24,FALSE,27.860833333333336,24,49.6525,0,0,4,1,0,19.3,0,45,6.834138115038309,4/46,3,0,0,11,11,11,0,0,5
SW Poynter,Ireland,2014,2019,21,23,0,46,6,241,39,FALSE,8.25,213,112.67605633802818,0,0,1,22,6,0,0,0,NA,NA,0,0,0,41,37,8,29,4,8
SW Sohoni,India,1946,1951,4,7,5,6,2,285,29,TRUE,58.8,0,266,0,0,0,0,0,0,0,2,2.278195488721805,1/16,0,0,0,2,2,2,0,0,1
SW Tait,Australia,2005,2016,35,45,61,62,4,3844,8,FALSE,21.090975422427036,15,47.641628264208904,0,0,1,0,1,79.4,2,95,5.6544149985395835,4/39,2,0,0,12,12,12,0,0,4
SYS Assegon,CAM,2024,2024,3,2,0,3,0,1,1,FALSE,0.5,18,5.555555555555555,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
SZ Vayani,MWest Indies,2023,2024,23,8,22,23,3,459,9,FALSE,10.374074074074073,55,29.242424242424242,0,0,2,2,0,75,1,27,5.8133333333333335,4/8,2,0,0,4,4,4,0,0,1
Saad Ali,Pakistan,2019,2019,2,0,0,2,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Saad Bin Zafar,Canada,2019,2024,20,46,67,68,11,3036,33,TRUE,26.638720538720538,319,64.34427028909788,0,0,1,35,12,167,7,82,5.297184010357663,3/8,0,0,0,23,23,23,0,0,4
Saad Khan,KSA,2022,2024,16,15,0,16,0,212,69,FALSE,14.133333333333333,216,98.14814814814817,0,1,2,19,7,0,0,0,NA,NA,0,0,0,3,3,3,0,0,1
Saad Nasim,Pakistan,2014,2015,3,4,3,6,0,148,25,FALSE,Inf,53,Inf,0,0,0,0,1,1,0,0,9.833333333333334,NA,0,0,0,1,1,1,0,0,1
Saadat Ali,Pakistan,1984,1984,8,2,2,8,0,58,NA,FALSE,14.5,0,13.5,0,0,0,0,0,0,0,2,6.444444444444445,2/24,0,0,0,1,1,1,0,0,1
Sabbir Rahman,BAN,2014,2022,66,90,37,133,7,2325,80,FALSE,Inf,819,Inf,0,8,8,92,29,12.1,0,9,5.780396633539261,3/11,0,0,0,65,65,65,0,0,8
Saber Zakhil,Belg,2019,2024,43,39,18,43,8,1211,100,TRUE,25.34731182795699,539,91.0499690785405,1,2,3,46,71,50.2,0,15,6.71523178807947,3/20,0,0,0,17,17,17,0,0,2
Sabir Ali,United Arab Emirates,2022,2023,4,5,7,7,1,252,0,TRUE,28.583333333333332,0,29.5,0,0,0,0,0,8,0,6,7.0514705882352935,2/50,0,0,0,2,2,2,0,0,1
Sachin Kumar,BHR,2022,2024,13,4,11,13,1,291,19,TRUE,17.583333333333332,32,49.625,0,0,1,3,0,30,0,10,8.833333333333334,4/40,1,0,0,2,2,2,0,0,1
Sachin Mandy,GER,2022,2024,23,13,0,23,1,135,34,FALSE,11.25,129,104.65116279069768,0,0,2,12,5,0,0,0,NA,NA,0,0,0,32,21,3,18,11,4
