Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
Sarfaraz Ahmed ,Pakistan,2010,2021,61,42,12,818,89,TRUE,27.266666666666666,653,125.26799387442573,0,3,2,79,15
Chirag Suri ,United Arab Emirates,2018,2022,31,31,3,817,88,FALSE,29.178571428571427,708,115.3954802259887,0,7,2,84,18
J Butler ,GUE,2019,2024,35,33,4,816,87,FALSE,28.137931034482758,747,109.23694779116467,0,3,1,74,18
SR Taylor ,United States of America,2019,2024,30,27,3,816,101,TRUE,34,603,135.32338308457713,1,4,2,89,35
Mohammad Naim ,BAN,2019,2022,35,35,1,815,81,FALSE,23.970588235294116,788,103.42639593908629,0,4,2,76,17
Shaheryar Butt ,Belg,2019,2024,38,36,8,815,125,TRUE,29.107142857142858,585,139.31623931623932,1,2,2,57,54
Faheem Nazir ,SUI,2022,2024,18,18,3,813,113,FALSE,54.2,537,151.39664804469274,2,6,1,89,27
W Barresi ,NED,2012,2024,46,44,7,812,75,TRUE,21.945945945945947,706,115.01416430594902,0,4,4,71,21
SV Samson ,India,2015,2024,37,33,4,810,111,FALSE,27.93103448275862,522,155.17241379310346,3,2,6,66,46
RB Patel ,UGA,2021,2024,42,39,8,805,68,TRUE,25.967741935483872,779,103.33761232349165,0,4,3,96,8
CG Williams ,Namibia,2019,2022,35,33,4,805,81,FALSE,27.75862068965517,713,112.90322580645163,0,6,3,69,23
V Saini ,ROM,2020,2024,40,36,10,804,91,TRUE,30.923076923076923,624,128.84615384615387,0,4,3,61,25
P Khadka ,NEP,2014,2020,33,32,3,799,106,TRUE,27.551724137931036,624,128.0448717948718,1,4,3,82,26
Asif Khan ,United Arab Emirates,2023,2024,32,32,5,798,74,TRUE,29.555555555555557,575,138.7826086956522,0,3,2,55,49
AA Obanda ,Kenya,2007,2023,51,47,4,797,103,TRUE,18.53488372093023,670,118.955223880597,1,1,6,100,25
Ishan Kishan ,India,2021,2023,32,32,1,796,89,FALSE,25.677419354838708,640,124.37499999999999,0,6,1,79,36
IA De Silva ,BUL,2020,2022,35,34,2,795,100,TRUE,24.84375,690,115.21739130434783,1,4,3,72,37
I Liyanage ,QAT,2020,2024,35,32,4,792,86,FALSE,28.285714285714285,657,120.54794520547945,0,5,4,83,26
V Vijh ,LUX,2019,2024,42,42,6,789,64,TRUE,21.916666666666668,750,105.2,0,2,3,56,25
Misbah-ul-Haq ,Pakistan,2007,2012,39,34,13,788,87,TRUE,37.523809523809526,715,110.2097902097902,0,3,2,45,26
Usman Ghani ,Afghanistan,2015,2023,35,34,3,786,73,FALSE,25.35483870967742,733,107.23055934515688,0,4,0,76,21
G Mckeon ,Fran,2022,2024,20,20,1,785,109,FALSE,41.31578947368421,534,147.00374531835206,2,4,1,66,41
Azyan Farhath ,MDV,2019,2024,35,35,7,784,66,TRUE,28,926,84.66522678185746,0,5,0,61,12
Umar Adam ,MDV,2019,2024,46,45,1,783,56,FALSE,17.795454545454547,589,132.937181663837,0,4,5,62,45
Basil Hameed ,United Arab Emirates,2020,2024,61,51,16,782,51,FALSE,22.34285714285714,619,126.33279483037157,0,2,2,41,40
JP Kotze ,Namibia,2019,2024,44,40,4,780,101,TRUE,21.666666666666668,657,118.7214611872146,1,2,5,76,36
DMW Rawlins ,BER,2019,2023,28,27,5,776,91,FALSE,35.27272727272727,515,150.67961165048544,0,6,1,58,50
L Siaka ,Papau New Guinea,2015,2024,62,55,5,773,55,FALSE,15.46,681,113.50954478707781,0,1,8,59,23
L Yamamoto-Lake ,Japan,2022,2024,36,36,3,772,134,TRUE,23.393939393939394,561,137.6114081996435,1,4,5,80,31
LA Dunbar ,SRB,2019,2024,29,28,6,771,117,FALSE,35.04545454545455,597,129.14572864321607,2,3,3,62,50
RR Rossouw ,South Africa,2014,2023,29,27,5,767,109,FALSE,34.86363636363637,480,159.79166666666666,2,3,5,69,39
A Sharafu ,United Arab Emirates,2020,2024,34,31,6,764,90,TRUE,30.56,562,135.94306049822066,0,5,1,78,31
KR Mayers ,West Indies,2020,2024,38,37,2,762,73,FALSE,21.771428571428572,551,138.2940108892922,0,3,1,68,51
Luqman Butt ,CAM,2023,2024,25,25,5,759,80,TRUE,37.95,530,143.20754716981133,0,4,1,70,38
LJ Wright ,England,2007,2014,51,45,5,759,99,TRUE,18.975,554,137.00361010830323,0,4,9,68,31
DJ Hussey ,Australia,2008,2012,39,36,3,756,88,TRUE,22.90909090909091,623,121.34831460674158,0,3,4,41,34
Yasir Ali ,ESP,2019,2024,38,36,8,755,80,TRUE,26.964285714285715,753,100.265604249668,0,4,3,58,23
S Wickramasekara ,CZK-R,2019,2023,34,33,6,748,104,TRUE,27.703703703703702,499,149.8997995991984,1,6,3,55,46
MNM Aslam ,KUW,2019,2024,61,39,5,742,55,FALSE,21.823529411764707,656,113.10975609756098,0,3,3,64,17
MD Gunathilaka ,Sri Lanka,2016,2022,46,45,0,741,57,FALSE,16.466666666666665,615,120.48780487804878,0,3,4,78,21
S Ravichandran ,Japan,2022,2024,34,33,4,741,86,TRUE,25.551724137931036,551,134.48275862068965,0,4,1,68,18
SI Runsewe ,NGA,2019,2024,41,40,6,741,80,FALSE,21.794117647058822,679,109.13107511045655,0,5,2,74,7
K Waiswa ,UGA,2020,2024,73,57,11,736,66,TRUE,16,688,106.9767441860465,0,1,6,71,19
MA Leask ,Scotland,2013,2024,67,54,7,726,58,FALSE,15.446808510638299,557,130.3411131059246,0,1,4,51,36
C Rubagumya ,RWN,2021,2024,75,65,12,726,40,FALSE,13.69811320754717,852,85.2112676056338,0,0,9,44,10
MR Adair ,Ireland,2019,2024,88,63,13,724,72,FALSE,14.48,577,125.47660311958407,0,1,5,51,33
Basil George ,MLT,2021,2024,34,34,2,724,103,TRUE,22.625,583,124.1852487135506,1,3,2,51,38
YBK Jaiswal ,India,2023,2024,23,22,2,723,100,FALSE,36.15,440,164.3181818181818,1,5,2,82,38
BFW de Leede ,NED,2018,2024,41,38,10,722,91,TRUE,25.785714285714285,707,102.12164073550211,0,4,4,52,18
JN Frylinck ,Namibia,2019,2024,65,46,12,721,57,TRUE,21.205882352941178,671,107.451564828614,0,1,2,50,17
MEK Hussey ,Australia,2005,2012,38,30,11,721,60,TRUE,37.94736842105263,529,136.29489603024575,0,4,1,58,25
PBB Rajapaksa ,Sri Lanka,2019,2024,42,37,6,719,77,FALSE,23.193548387096776,542,132.65682656826567,0,3,3,60,31
Muhammad Muneeb ,Belg,2020,2024,32,32,2,717,73,FALSE,23.9,607,118.12191103789127,0,4,5,70,26
SJ Baard ,Namibia,2019,2022,28,28,3,714,92,FALSE,28.56,632,112.9746835443038,0,5,1,61,18
RS Bopara ,England,2008,2014,38,35,10,711,65,TRUE,28.44,599,118.69782971619365,0,3,0,54,17
NR Kumar ,Canada/United States of America,2012,2024,36,32,4,711,83,FALSE,25.392857142857142,567,125.39682539682539,0,4,2,51,25
MJ Santner ,New Zealand,2015,2024,106,72,29,710,77,TRUE,16.511627906976745,592,119.93243243243244,0,1,5,55,23
J Mees ,LUX,2019,2024,40,39,7,709,85,FALSE,22.15625,600,118.16666666666666,0,3,4,67,22
MK Pandey ,India,2015,2020,39,33,17,709,79,TRUE,44.3125,562,126.15658362989323,0,3,2,49,19
W Niyitanga ,RWN,2021,2024,61,60,5,708,55,TRUE,12.872727272727273,858,82.51748251748252,0,2,7,47,21
HC Brook ,England,2022,2024,39,32,9,707,81,TRUE,30.73913043478261,484,146.07438016528926,0,3,0,57,30
PR Surve ,INA,2022,2024,29,28,8,707,71,TRUE,35.35,646,109.44272445820434,0,3,1,54,19
R Bakum ,GHA,2019,2024,42,41,4,706,71,FALSE,19.08108108108108,609,115.92775041050902,0,4,4,48,33
PW Hasaranga ,Sri Lanka,2019,2024,76,65,14,706,71,FALSE,13.843137254901961,548,128.83211678832117,0,2,8,70,16
JP Inglis ,Australia,2022,2024,29,28,5,706,110,FALSE,30.695652173913043,450,156.88888888888891,2,0,2,67,28
KD Shah ,Hong Kong,2014,2023,49,45,8,706,79,FALSE,19.08108108108108,660,106.96969696969695,0,3,7,55,17
CK Kapugedera ,Sri Lanka,2006,2017,43,38,7,703,50,FALSE,22.677419354838708,591,118.95093062605753,0,1,0,58,25
R Nehonde ,BOT,2019,2024,40,36,5,701,63,FALSE,22.612903225806452,732,95.76502732240438,0,2,2,56,12
D Kansonkho ,MWest Indies,2019,2024,46,42,4,700,54,FALSE,18.42105263157895,750,93.33333333333333,0,1,3,72,10
A Mansale ,VAN,2019,2024,34,33,4,699,82,FALSE,24.103448275862068,586,119.28327645051195,0,5,5,46,26
CJ Anderson ,New Zealand/United States of America,2012,2024,42,34,6,697,94,TRUE,24.892857142857142,553,126.03978300180832,0,3,3,40,35
Naseem Khushi ,OMA,2017,2024,51,39,3,696,69,FALSE,19.333333333333332,442,157.4660633484163,0,3,4,46,50
