Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
A Shahi ,CYP,2024,2024,9,8,1,87,42,TRUE,12.428571428571429,48,181.25,0,0,1,6,7
A Shahzad,England,2010,2011,11,11,0,490,NA,FALSE,28.823529411764707,0,34.588235294117645,0,0,0,0,0
A Shahzad ,England,2010,2011,4,2,1,5,5,TRUE,5,3,0,0,0,0,0,0
A Shamshudeen,Canada,2007,2007,1,1,0,24,NA,FALSE,Inf,0,Inf,0,0,0,0,0
A Sharafu,United Arab Emirates,2021,2024,19,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Sharafu ,United Arab Emirates,2020,2024,34,31,6,764,90,TRUE,30.56,562,135.94306049822066,0,5,1,78,31
A Sharma,United Arab Emirates,2023,2024,13,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Sharma ,United Arab Emirates,2023,2024,12,12,1,300,60,FALSE,27.272727272727273,280,107.14285714285714,0,3,1,41,2
A Shaw ,England,1877,1882,7,12,1,111,40,FALSE,10.090909090909092,0,NA,0,0,1,0,0
A Shirai-Patmore ,Japan,2022,2024,26,21,2,298,38,FALSE,15.68421052631579,322,92.54658385093167,0,0,3,31,0
A Shreshta ,NGA,2021,2023,22,21,2,385,76,FALSE,20.263157894736842,393,97.96437659033079,0,1,1,36,5
A Shrewsbury snr ,England,1881,1893,23,40,4,1277,164,FALSE,35.47222222222222,0,NA,3,4,1,0,0
A Shukla ,Hong Kong,2022,2024,43,18,6,43,9,TRUE,3.642857142857143,80,53.68980612883052,0,0,5,2,1
A Sidebottom ,England,1985,1985,1,1,0,2,2,FALSE,2,0,NA,0,0,0,0,0
A Simelane ,South Africa,2024,2024,4,4,1,20,7,FALSE,6.666666666666667,21,95.23809523809523,0,0,0,1,1
A Sokovagone ,Fiji,2024,2024,6,6,0,174,62,FALSE,29,129,134.88372093023256,0,1,0,10,12
A Srivastav ,Chile,2019,2019,4,4,0,25,21,FALSE,6.25,37,67.56756756756756,0,0,2,2,0
A Symonds,Australia,1998,2009,198,158,0,4955,NA,FALSE,37.255639097744364,0,44.62406015037594,0,0,0,0,0
A Symonds ,Australia,2004,2009,40,52,9,1799,162,TRUE,44.37698412698413,199,169.3467336683417,2,12,6,33,10
A Tripathi ,Mex,2019,2024,8,5,2,5,1,TRUE,1.6666666666666667,20,25,0,0,0,0,0
A Trivedi ,LUX,2022,2022,1,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Turay ,Sri LankaE,2022,2024,19,19,2,295,78,TRUE,17.352941176470587,282,104.60992907801419,0,1,2,33,6
A Turkmen ,TKY,2022,2024,12,11,4,124,40,TRUE,17.714285714285715,117,105.98290598290599,0,0,1,15,1
A Turner,Australia,1975,1975,6,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Turner ,Australia,1975,1977,14,27,1,768,136,FALSE,29.53846153846154,0,NA,1,3,2,0,0
A Uniyal ,Chile,2019,2023,5,5,1,31,16,TRUE,7.75,49,63.26530612244898,0,0,0,2,0
A Vala,Papau New Guinea,2014,2023,66,61,0,1579,NA,FALSE,28.70909090909091,0,43.41818181818182,0,0,0,0,0
A Vala ,Papau New Guinea,2015,2024,63,60,9,1274,93,TRUE,24.980392156862745,1093,116.55992680695333,0,8,1,116,38
A Venkatesh ,SWE,2021,2022,16,16,2,287,54,FALSE,20.5,272,105.51470588235294,0,1,2,25,2
A Waddington ,England,1920,1921,2,4,0,16,7,FALSE,4,0,NA,0,0,1,0,0
A Ward ,England,1893,1976,12,19,1,527,117,FALSE,22.73076923076923,0,NA,1,3,5,0,0
A Warren ,England,1905,1905,1,1,0,7,7,FALSE,7,0,NA,0,0,0,0,0
A Wharton ,England,1949,1949,1,2,0,20,13,FALSE,10,0,NA,0,0,0,0,0
A Wood ,England,1938,1939,4,5,1,80,53,FALSE,20,0,NA,0,1,1,0,0
A Wright ,CAY,2023,2023,4,2,1,3,3,TRUE,3,14,21.428571428571427,0,0,1,0,0
A Yon ,STHEL,2022,2024,8,6,0,96,58,FALSE,16,89,107.86516853932584,0,1,1,10,1
A Zampa,Australia,2016,2024,106,106,0,5091,NA,FALSE,28.283333333333335,0,30.694444444444443,0,0,0,0,0
A Zampa ,Australia,2016,2024,95,22,10,68,13,TRUE,5.666666666666667,76,89.47368421052632,0,0,3,7,0
A van der Merwe,Ireland,2010,2011,9,9,0,323,NA,FALSE,29.363636363636363,0,39.27272727272727,0,0,0,0,0
AA Baig ,India,1959,1967,10,18,0,428,112,FALSE,23.77777777777778,0,NA,1,2,1,0,0
AA Banner ,Blz,2019,2021,9,7,0,65,28,FALSE,9.285714285714286,65,100,0,0,1,7,3
AA Donald,South Africa,1991,2003,164,162,0,5926,NA,FALSE,21.78676470588235,0,31.47426470588235,0,0,0,0,0
AA Donald ,South Africa,1992,2002,72,94,33,652,37,FALSE,10.688524590163935,0,NA,0,0,17,0,0
AA Gajic ,SRB,2022,2024,18,7,5,19,9,FALSE,9.5,42,45.23809523809524,0,0,0,1,0
AA Hawoe ,INA,2024,2024,2,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
AA Hussein ,TAN,2022,2022,2,2,2,1,1,TRUE,Inf,1,100,0,0,0,0,0
AA Jasani ,TAN,2021,2021,6,6,1,185,90,TRUE,37,152,121.71052631578947,0,1,0,15,6
AA Mailey ,Australia,1920,1926,21,29,9,222,46,TRUE,11.1,0,NA,0,0,3,0,0
AA Mallett,Australia,1971,1975,9,9,0,341,NA,FALSE,31,0,45.63636363636363,0,0,0,0,0
AA Mallett ,Australia,1968,1980,38,50,13,430,43,TRUE,11.621621621621621,0,NA,0,0,10,0,0
AA Mulla,Canada,2006,2009,24,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
AA Mulla ,Canada,2008,2008,4,4,0,11,8,FALSE,2.75,19,57.89473684210527,0,0,1,2,0
AA Navicha ,MOZ,2021,2024,28,19,8,158,31,TRUE,14.363636363636363,202,78.21782178217822,0,0,3,8,4
AA Noffke,Australia,2008,2008,1,1,0,46,NA,FALSE,46,0,54,0,0,0,0,0
AA Noffke ,Australia,2007,2008,2,1,0,0,0,FALSE,0,0,NA,0,0,1,0,0
AA Obanda,Kenya,2007,2014,49,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
AA Obanda ,Kenya,2007,2023,51,47,4,797,103,TRUE,18.53488372093023,670,118.955223880597,1,1,6,100,25
AA Onikoyi ,NGA,2019,2023,29,27,3,383,52,TRUE,15.958333333333334,433,88.45265588914549,0,1,5,28,12
AA Paradkar,United States of America,2021,2024,6,6,0,242,NA,FALSE,26.88888888888889,0,24.666666666666668,0,0,0,0,0
AA Paradkar ,United States of America,2024,2024,4,2,1,16,10,TRUE,16,13,123.07692307692308,0,0,0,2,0
AA Rahayu ,INA,2023,2024,11,4,1,23,14,TRUE,7.666666666666667,27,85.18518518518519,0,0,1,2,1
AA Shafique,OMA,2023,2023,2,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
AA Westphal ,Mex,2019,2019,5,5,0,33,24,FALSE,6.6,40,82.5,0,0,0,3,0
AAA Patel ,LES,2021,2022,8,7,0,68,28,FALSE,9.714285714285714,81,83.9506172839506,0,0,1,6,3
AAP Atkinson,England,2023,2023,9,9,0,388,NA,FALSE,35.27272727272727,0,34.72727272727273,0,0,0,0,0
AAP Atkinson ,England,2023,2024,11,13,2,261,118,TRUE,Inf,10,80,1,0,1,0,0
