Player,Country,Start,End,Matches,Innings,Dismissals,Caught,CaughtFielder,CaughtBehind,Stumped,MaxDismissalsInnings
Ga Headley,West Indies,1930,1954,22,38,14,14,14,0,0,2
Ga Hick,England,1991,2001,185,234,154,154,154,0,0,4
Ga Kempis,South Africa,1889,1889,1,2,0,0,0,0,0,0
Ga Lamb,Zimbabwe,2010,2011,21,22,2,2,2,0,0,1
Ga Lohmann,England,1886,1896,18,36,28,28,28,0,0,3
Ga Manou,Australia,2009,2009,5,5,8,8,0,8,0,3
Ga Paterson,Zimbabwe,1983,1987,10,10,2,2,2,0,0,1
Ga Priandana,INA,2022,2024,35,35,13,13,13,0,0,2
Ga Reynold,Blz,2019,2019,3,3,2,2,2,0,0,2
Ga Rogers,Scotland,2006,2009,15,14,2,2,2,0,0,1
Ga Rowe,South Africa,1896,1902,5,8,4,4,4,0,0,2
Ga Smithson,England,1948,1948,2,4,0,0,0,0,0,0
Ga Stuurman,South Africa,2021,2022,3,4,0,0,0,0,0,0
Gabor Torok,HUN,2022,2022,1,1,0,0,0,0,0,0
Gae Paine,England,1935,1935,4,7,5,5,5,0,0,2
Gagandeep Singh,BUL,2022,2024,12,11,7,7,7,0,0,2
Gahm Parkar,India,1982,1984,11,10,5,5,5,0,0,2
Gal Hearne,South Africa,1922,1924,3,5,3,3,3,0,0,3
Gar Lock,England,1952,1968,49,93,59,59,59,0,0,3
Garret Banner,Blz,2019,2021,7,7,1,1,1,0,0,1
Gaurav Mishra,ROM,2022,2023,12,12,5,5,5,0,0,2
Gaurav Tiwari,INA,2024,2024,10,10,2,2,2,0,0,1
Gazi Ashraf,BAN,1986,1990,7,7,1,1,1,0,0,1
Gb Brent,Zimbabwe,1996,2008,77,79,23,23,23,0,0,2
Gb Hogg,Australia,1996,2014,145,150,38,38,38,0,0,2
Gb Hole,Australia,1951,1955,18,35,21,21,21,0,0,4
Gb Lawrence,South Africa,1961,1962,5,10,2,2,2,0,0,2
Gb Legge,England,1927,1930,5,8,1,1,1,0,0,1
Gb Murgatroyd,Namibia,2003,2003,6,6,0,0,0,0,0,0
Gb Stevens,Australia,1959,1960,4,8,2,2,2,0,0,1
Gb Stevenson,England,1980,1981,6,7,2,2,2,0,0,1
Gb Street,England,1923,1923,1,1,1,0,0,0,1,1
Gb Studd,England,1882,1883,4,8,8,8,8,0,0,3
Gb Troup,New Zealand,1976,1986,37,50,4,4,4,0,0,1
Gbw Munaweera,QAT,2019,2024,29,29,6,6,6,0,0,2
Gc Dyer,Australia,1986,1988,29,34,52,46,0,46,6,4
Gc Galanis,GRC,2019,2024,14,14,10,10,10,0,0,2
Gc Grant,West Indies,1930,1935,12,18,10,10,10,0,0,2
